anime_id,title,title_english,title_japanese,title_synonyms,url,image_url,trailer_url,type,source,episodes,status,airing,aired_from,aired_to,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,season,year,broadcast_day,broadcast_time,producers,licensors,studios,genres,themes
115,Ijigen no Sekai El-Hazard,El Hazard: The Alternative World,異次元の世界エルハザード,Ijigen no Sekai El Hazard,https://myanimelist.net/anime/115/Ijigen_no_Sekai_El-Hazard,https://cdn.myanimelist.net/images/anime/1843/139490.jpg,,TV,Original,13.0,Finished Airing,False,1998-01-08T00:00:00+00:00,1998-03-26T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,6.78,5382.0,5335.0,6038,12441,9,"Miz plans to retire as a Great Priestess of Water to married life with her darling Fujisawa and as replacement the young Qawoor Towles arrives to Floristica. Jinnai sees Qawoor's initiation ceremony as a chance to infiltrate Makoto's laboratory but accidentally activates a mysterious thingy that sends them all through the dimensions to a grey industrial city protected by a huge castle in an alternative world.

(Source: ANN)",,winter,1998.0,Thursdays,01:15,Pioneer LDC,"Nozomi Entertainment, Geneon Entertainment USA",AIC,"Adventure, Comedy, Fantasy",Isekai
116,Shinpi no Sekai El-Hazard (TV),El-Hazard: The Wanderers,神秘の世界エルハザード,"Shinpi no Sekai El-Hazard, El-Hazard: The Magnificent World (TV)",https://myanimelist.net/anime/116/Shinpi_no_Sekai_El-Hazard_TV,https://cdn.myanimelist.net/images/anime/13/24439.jpg,,TV,Original,26.0,Finished Airing,False,1995-10-06T00:00:00+00:00,1996-03-29T00:00:00+00:00,23 min per ep,PG-13 - Teens 13 or older,6.93,7626.0,4602.0,5129,18972,39,"High school science-whiz Makoto Mizuhara is working on his newest project in preparation for the school festival, alongside his best friend Nanami Jinnai. Nanami's brother and Makoto's lifelong rival, the unscrupulous student council president Katsuhiko Jinnai, is under scrutiny for mishandling the school festival planning and is convinced that Makoto is plotting to steal his position. One night, as Makoto and Nanami are taking a break with their teacher Masamichi Fujisawa, Jinnai sneaks into the science lab and sabotages Makoto's device, which suddenly opens a portal that flings all four of them into another world!

Upon arrival, Makoto is immediately attacked by a horde of giant bug monsters. While running from them, he comes across Fujisawa and a girl named Rune Venus. After Fujisawa fights off the monsters, a group of dignitaries arrives, looking for Rune, their princess. They inform Makoto and Fujisawa that they are in a world called El-Hazard and take them back to the palace of Roshtaria, their kingdom. Though her advisors are suspicious of the newcomers, Rune decrees that they are to be treated as guests and quickly befriends Makoto. Unaware that Nanami and Jinnai are in this world as well, Makoto gets to work trying to figure out a way back to Earth.

[Written by MAL Rewrite]",,fall,1995.0,Fridays,18:30,"TV Tokyo, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa","Nozomi Entertainment, Geneon Entertainment USA",AIC,"Adventure, Comedy, Fantasy, Romance",Isekai
117,Shinpi no Sekai El-Hazard,El Hazard: The Magnificent World,神秘の世界エルハザード,"Shinpi no Sekai Eru Hazaado,",https://myanimelist.net/anime/117/Shinpi_no_Sekai_El-Hazard,https://cdn.myanimelist.net/images/anime/1893/128632.jpg,,OVA,Original,7.0,Finished Airing,False,1995-05-26T00:00:00+00:00,1996-01-25T00:00:00+00:00,34 min per ep,PG-13 - Teens 13 or older,7.25,8345.0,3018.0,4948,20814,105,"After Makoto Mizuhara agrees to testify against the boisterous student council president Katsuhiko Jinnai for bribing school clubs in the recent student council elections, Jinnai chases him down in an attempt to silence his self-proclaimed rival. Suddenly, during the chase, time stops for everyone—except Makoto. Perplexed, he wanders around the campus until he notices a light coming from the school's closed-off basement, where an ancient relic had just been uncovered.

Makoto is walking toward the artifact surrounded by strings of light, when out of it comes an otherworldly woman who claims she has been waiting for ten thousand years to see him. Weakened by the passage of time, she uses her remaining power to transport a confused Makoto to another world, which she refers to as El-Hazard. However, others who are still at school are also caught in the spell, namely: Jinnai; Masamichi Fujisawa, the alcoholic teacher; and Nanami Jinnai, the headstrong sister of president Jinnai.

The fantastical and magnificent world of El-Hazard awaits these four individuals where they will become entangled in the story of its inhabitants and embark on an adventure filled with laughter, danger, and even romance.

[Written by MAL Rewrite]","El Hazard: The Magnificent World was formerly distributed in the U.S. by NBCUniversal Entertainment Japan, whose North American branch was then known as Pioneer Entertainment. In July 2019, Nozomi Entertainment, a division of Right Stuf Inc., took over and rescued the license for the series. In 2001, the series also inspired a role-playing game called the El-Hazard Role-Playing Game released by Canadian company Guardians of Order.",,,,,Pioneer LDC,"Nozomi Entertainment, Geneon Entertainment USA",AIC,"Adventure, Comedy, Fantasy, Romance","Crossdressing, Isekai"
118,Shinpi no Sekai El-Hazard Season 2,El Hazard 2: The Magnificent World,神秘の世界 エルハザード 第2期,,https://myanimelist.net/anime/118/Shinpi_no_Sekai_El-Hazard_Season_2,https://cdn.myanimelist.net/images/anime/11/2796.jpg,,OVA,Original,4.0,Finished Airing,False,1997-03-21T00:00:00+00:00,1997-10-25T00:00:00+00:00,30 min per ep,PG-13 - Teens 13 or older,6.77,4723.0,5361.0,6652,9871,6,"Continuing the from OVAs; When Fujisawa, suffering from cold feet, leaves Miz at the altar, an enraged Priestess drafts Makoto and friends to go find him. In the couse of locating the hapless (and gutless) teacher, they find another Ifurita. Meanwhile Jinnai and Diva searching for a new Bugrom homeland stumble upon another yet another Demon God, the impish Kalia. However, unlike Ifurita she has a mind, and a mission, of her own... 

(Source: ANN)",,,,,,Pioneer LDC,Geneon Entertainment USA,AIC,"Adventure, Comedy, Fantasy",Isekai
123,Fushigi Yuugi,Mysterious Play,ふしぎ遊戯,"Fushigi Yugi, Curious Play",https://myanimelist.net/anime/123/Fushigi_Yuugi,https://cdn.myanimelist.net/images/anime/2/20140.jpg,,TV,Manga,52.0,Finished Airing,False,1995-04-06T00:00:00+00:00,1996-03-28T00:00:00+00:00,23 min per ep,PG-13 - Teens 13 or older,7.61,52755.0,1513.0,1878,122515,2103,"During a visit to the National Library, Miaka Yuuki and Yui Hongo stumble upon a strange old book that casts a red light, sucking them inside its unfamiliar world. Upon arrival, the two encounter hostile slave traders and barely escape with the help of Tamahome—a powerful young man bearing a Chinese symbol on his forehead. But, a moment later, the red light returns and takes Yui away. 

Desperate to reunite with her companion, Miaka asks Tamahome for assistance. However, the situation escalates when the pair encounters the land's emperor, Hotohori, who believes Miaka is the foretold priestess of the kingdom's protector god Suzaku. By gathering the god's seven Celestial Warriors, the priestess can summon Suzaku and have all her wishes granted. Hotohori hopes this will save his country, and since it appears to be a fitting solution to the girl's problems as well, he convinces her to accept the role.

Meanwhile, at the library, Yui realizes she has been brought back alone. Unable to intervene, she helplessly witnesses Miaka traversing through courageous trials as the mysterious book's heroine.

[Written by MAL Rewrite]","Despite presenting some disturbing imagery, Fushigi Yuugi was broadcasted at 6 p.m. during its airing in Japan, a timeslot that now no longer permits such content. The series' English version was made available in DVD and VHS formats by Geneon Entertainment, formerly known as Pioneer, under the expanded title Fushigi Yuugi: The Mysterious Play. The DVDs were released as eight volumes between July 27, 2004 and September 20, 2005. It was also released as two box sets: Suzaku on November 30, 1999 and Seiryuu on December 12, 2000. Seven years later, Media Blasters released another two DVD box sets and a collection with the entire series using the original title. The sets, Fushigi Yuugi Season 1 and Season 2, were released on June 19, 2012 and February 12, 2013 respectively. The collection was made available on April 28, 2015.",spring,1995.0,Thursdays,18:00,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon","Media Blasters, Geneon Entertainment USA",Pierrot,"Action, Adventure, Fantasy, Romance","Historical, Isekai, Martial Arts, Reverse Harem"
124,Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,ふしぎ遊戯 -永光伝,Fushigi Yuugi OVA 3,https://myanimelist.net/anime/124/Fushigi_Yuugi__Eikouden,https://cdn.myanimelist.net/images/anime/11/67701.jpg,,OVA,Manga,4.0,Finished Airing,False,2001-12-21T00:00:00+00:00,2002-06-25T00:00:00+00:00,30 min per ep,PG-13 - Teens 13 or older,6.8,9235.0,5241.0,5179,18476,40,"After years of hardships interfered with their love, Miaka Yuuki and Taka Sukunami are finally married and expecting a baby—the pinnacle of their unbreakable bond. Unfortunately, not everyone rejoices alongside the blessed couple. Mayo Sakaki, one of Taka's students, has a crush on him and cannot bear witnessing the pair's flourishing relationship.

Upon discovering The Universe of the Four Gods, Mayo learns that the old book is where Miaka and Taka first met as the priestess of the god Suzaku and the god's Celestial Warrior Tamahome. Unscrupulous about destroying a happy family, Mayo readily ventures inside with hopes of becoming the new priestess of Suzaku and rewriting the story to her advantage.

Meanwhile, her actions do not delay to show devastating effects. Leaving an unconscious Miaka at the hospital, Taka must follow Mayo to The Universe of the Four Gods and stop her before the circumstances worsen for his wife and their unborn child.

[Written by MAL Rewrite]","Fushigi Yuugi: Eikouden adapts the seventh and eighth volumes of Megumi Nishizaki's Fushigi Yuugi Gaiden light novel. The OVA was made available in North America on DVD by Geneon Entertainment and Media Blasters on November 12, 2002 and June 11, 2013 respectively. Additionally, the 2002 DVD was a limited edition and included 10 pencil boards.",,,,,,"Media Blasters, Geneon Entertainment USA",Pierrot,"Adventure, Drama, Fantasy, Romance",Isekai
153,Juuni Kokuki,The Twelve Kingdoms,十二国記,"12 Kingdoms, Juuni Kokki",https://myanimelist.net/anime/153/Juuni_Kokuki,https://cdn.myanimelist.net/images/anime/6/50859.jpg,,TV,Novel,45.0,Finished Airing,False,2002-04-09T00:00:00+00:00,2003-08-30T00:00:00+00:00,25 min per ep,PG-13 - Teens 13 or older,8.01,46874.0,630.0,1542,157644,2518,"Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend.

But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die.

[Written by MAL Rewrite]",,spring,2002.0,,,"NHK, Sogo Vision","Media Blasters, Discotek Media",Pierrot,"Action, Adventure, Fantasy",Isekai
160,"Ima, Soko ni Iru Boku","Now and Then, Here and There",今、そこにいる僕,"Ima, Soko ni Iru Boku",https://myanimelist.net/anime/160/Ima_Soko_ni_Iru_Boku,https://cdn.myanimelist.net/images/anime/1094/109008.jpg,https://www.youtube.com/watch?v=BsYY0ReMGz0,TV,Original,13.0,Finished Airing,False,1999-10-14T00:00:00+00:00,2000-01-20T00:00:00+00:00,24 min per ep,R - 17+ (violence & profanity),7.59,43633.0,1572.0,1596,150244,1196,"Shuuzou ""Shuu"" Matsutani lives his ordinary life in peace. He has friends, a crush, and a passion for kendo. Dejected after losing to his kendo rival, Shuu climbs a smokestack to watch the sunset where he finds Lala-Ru, a quiet, blue-haired girl wearing a strange pendant. Shuu attempts to befriend her, despite her uninterested, bland responses.

However, his hopes are crushed when a woman, accompanied by two serpentine machines, appear out of thin air with one goal in mind: capture Lala-Ru. Shuu, bull-headed as he is, tries to save his new friend from her kidnappers and is transported to a desert world, unlike anything he has ever seen before. Yet, despite the circumstances, Shuu only thinks of saving Lala-Ru, until he is thoroughly beaten up by some soldiers. As he soon finds out, Lala-Ru can manipulate water and her pendant is the source from which she is able to bring forth the liquid, a scarce commodity in his new environment. But now, the pendant is lost, and Shuu is the prime suspect.

Ima, Soko ni Iru Boku is the haunting story of a dystopian world, and of Shuu, who has to endure torture, hunger, and the horrors of war in order to save the lonely girl he found sitting atop a smokestack.

[Written by MAL Rewrite]",,fall,1999.0,Thursdays,19:00,"Victor Entertainment, Pioneer LDC, Rakuonsha","ADV Films, Central Park Media",AIC,"Adventure, Drama, Fantasy, Sci-Fi","Isekai, Military"
171,Strange Dawn,,ストレンジ・ドーン,,https://myanimelist.net/anime/171/Strange_Dawn,https://cdn.myanimelist.net/images/anime/12/74782.jpg,,TV,Original,13.0,Finished Airing,False,2000-07-11T00:00:00+00:00,2000-09-26T00:00:00+00:00,23 min per ep,PG-13 - Teens 13 or older,6.27,2037.0,8312.0,7852,6549,9,"Yuko and Eri are two normal girls who are sucked into the alternate world filled with tiny people. The people of this mysterious world sees them as their ""Great Protectors"" who can protect their land in a time of strife. The two girls set out on a mission with a group of warriors from the village to find out how they were brought here and how might they return home. However, there is a war brewing and these two Great Protectors are the political tool that every faction lusts for to rally the people to their side. 

(Source: ANN)",,summer,2000.0,Tuesdays,18:30,,Urban Vision,HAL Film Maker,"Adventure, Drama, Fantasy",Isekai
182,Tenkuu no Escaflowne,The Vision of Escaflowne,天空のエスカフローネ,Tenkuu no Escaflowne,https://myanimelist.net/anime/182/Tenkuu_no_Escaflowne,https://cdn.myanimelist.net/images/anime/5/30689.jpg,https://www.youtube.com/watch?v=YNTYLr3PF-A,TV,Original,26.0,Finished Airing,False,1996-04-02T00:00:00+00:00,1996-09-24T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,7.66,67370.0,1358.0,1492,164141,2188,"Hitomi Kanzaki is just an ordinary 15-year-old schoolgirl with an interest in tarot cards and fortune telling, but one night, a boy named Van Fanel suddenly appears from the sky along with a vicious dragon. Thanks to a premonition from Hitomi, Van successfully kills the dragon, but a pillar of light appears and envelopes them both. As a result, Hitomi finds herself transported to the world of Gaea, a mysterious land where the Earth hangs in the sky.

In this new land, Hitomi soon discovers that Van is a prince of the Kingdom of Fanelia, which soon falls under attack by the evil empire of Zaibach. In an attempt to fight them off, Van boards his family's ancient guymelef Escaflowne—a mechanized battle suit—but fails to defeat them, and Fanelia ends up destroyed. Now on the run, Hitomi and Van encounter a handsome Asturian knight named Allen Schezar, whom Hitomi is shocked to find looks exactly like her crush from Earth. With some new allies on their side, Van and Hitomi fight back against the forces of Zaibach as the empire strives to revive an ancient power.

[Written by MAL Rewrite]","Escaflowne was originally planned to be a 39 episode series, but after cuts to its budget and an extensive reworking of the plot, the show was reduced to a 26 episode run. Due to time constraints, certain footage in earlier episodes were cut during its broadcast and later restored on the Japanese home video releases, referred to as the Director's Cut. The North American Bandai Entertainment releases used the TV masters, so their English dub does not sync properly with the Japanese home video masters on those specific episodes. FUNimation later licensed the series and, in 2016, launched a successful Kickstarter to redub the entirety of the Director's Cut edition.",spring,1996.0,Tuesdays,18:00,"TV Tokyo, Bandai Visual, Omnibus Promotion","Funimation, Bandai Entertainment",Sunrise,"Action, Adventure, Fantasy, Romance, Suspense","Isekai, Love Polygon, Mecha, Psychological"
241,Girls Bravo: First Season,Girls Bravo,GIRLSブラボー first season,,https://myanimelist.net/anime/241/Girls_Bravo__First_Season,https://cdn.myanimelist.net/images/anime/12/48027.jpg,https://www.youtube.com/watch?v=fEOOnZ4NroI,TV,Manga,11.0,Finished Airing,False,2004-07-05T00:00:00+00:00,2004-09-27T00:00:00+00:00,23 min per ep,R+ - Mild Nudity,6.36,73353.0,7750.0,1574,153281,329,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.

(Source: ANN)",,summer,2004.0,,,"AIC, Lantis, Kadokawa Shoten, Fuji TV, Rakuonsha, KlockWorx, Happinet Pictures","Funimation, Geneon Entertainment USA",AIC Spirits,"Comedy, Fantasy, Romance, Ecchi","Harem, Isekai, School"
247,Harukanaru Toki no Naka de: Hachiyou Shou,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,遙かなる時空の中で〜八葉抄〜,"HaruToki, Haruka 8, Haruka naru Toki no Naka de TV, Harukanaru Toki no Nakade - Hachiyosho -, In a Distant Time",https://myanimelist.net/anime/247/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou,https://cdn.myanimelist.net/images/anime/7/7227.jpg,,TV,Visual novel,26.0,Finished Airing,False,2004-10-06T00:00:00+00:00,2005-03-30T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,7.0,8122.0,4313.0,4500,25839,116,"Akane Motomiya and her friends Tenma and Shimon are pulled by a demon into another world, where Akane becomes the Priestess of the Dragon God. The people of this world tell her that she is the only one who can stop the demons from taking over; meanwhile, the demons want to use her power for their own ends. Luckily, Akane has the Hachiyou, eight men with powers of their own who are sworn to protect the Dragon Priestess.

(Source: ANN)",,fall,2004.0,Wednesdays,01:00,,Bandai Visual USA,Yumeta Company,"Fantasy, Romance","Isekai, Mythology, Reverse Harem"
251,Kyou kara Maou!,,今日からマ王！,"Kyo Kara Maoh!, Maruma, God? Save Our King, King from now on!",https://myanimelist.net/anime/251/Kyou_kara_Maou,https://cdn.myanimelist.net/images/anime/11/75544.jpg,https://www.youtube.com/watch?v=Fh75ePlxyVI,TV,Light novel,78.0,Finished Airing,False,2004-04-03T00:00:00+00:00,2006-02-25T00:00:00+00:00,25 min per ep,PG-13 - Teens 13 or older,7.62,42690.0,1471.0,1936,117108,1363,"Kyou kara Maou! revolves around Yuri Shibuya, your average Japanese teenager. One day, Yuri sees a classmate being harassed by bullies. Thanks to this intervention, his friend is able to escape, but unfortunately Yuri becomes the new target of the bullies in the process and gets his head shoved into a toilet. But instead of water, the toilet contains a swirling portal that sucks him into another world, largely resembling medieval Europe. There, he is told that he will become the next Demon King due to his black hair and black eyes, traits only possessed by the demon's royal lineage.

Yuri's arrival is met with some skepticism by some of the demons, who view him as unworthy to be their king. However, after Yuri wins a duel by utilizing his magical powers, the demons slowly begin to acknowledge him as their monarch. Yuri must now learn what it takes be a true Demon King, as he tries to keep the peace between demons and humans in this strange new realm.",,spring,2004.0,Saturdays,09:00,"NHK, Sogo Vision","Discotek Media, Geneon Entertainment USA",Studio Deen,"Adventure, Comedy, Fantasy",Isekai
296,Dragon Drive,Dragon Drive,ドラゴンドライブ,,https://myanimelist.net/anime/296/Dragon_Drive,https://cdn.myanimelist.net/images/anime/1/2214.jpg,https://www.youtube.com/watch?v=_ezKnF3XG84,TV,Manga,38.0,Finished Airing,False,2002-07-04T00:00:00+00:00,2003-03-27T00:00:00+00:00,23 min per ep,PG - Children,6.69,10013.0,5824.0,4640,23978,55,"If there's one word to describe Reiji Ozora, it would be ""quitter."" He can never find the motivation to finish anything, and loses interest at the drop of a hat. This all changes when his best friend Maiko introduces him to the new game ""Dragon Drive.""

In this virtual reality game, each player is assigned a dragon tailored to match their personality and strength. Reiji hopes for a big, strong, scary beast, but instead, he is stuck with Chibi, a cute, friendly-looking dragon smaller than he is. How disappointing—except it turns out that Chibi is the rarest dragon of them all!

Reiji finally discovers something he can remain interested in, and works hard to train both himself and his newfound friend. Soon this training will be put to use to save the world, for there are people who have dark aspirations for Dragon Drive!",,summer,2002.0,Thursdays,18:00,"Bandai Visual, Nihon Ad Systems, TV Tokyo Music",Bandai Entertainment,Madhouse,"Action, Adventure, Fantasy, Sci-Fi",Isekai
306,Abenobashi Mahou☆Shoutengai,Magical☆Shopping Arcade Abenobashi,アベノ橋魔法☆商店街,"Abenobashi Magic Shopping District, Abenobashi Mahoh Shotengai, Magical Shopping Street Abenobashi, Magical Shopping Arcade Abenobashi",https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai,https://cdn.myanimelist.net/images/anime/1350/113655.jpg,https://www.youtube.com/watch?v=gfKMN7rLJpY,TV,Original,13.0,Finished Airing,False,2002-04-04T00:00:00+00:00,2002-06-27T00:00:00+00:00,24 min per ep,R+ - Mild Nudity,7.22,35439.0,3176.0,2264,93062,361,"Satoshi ""Sasshi"" Imamiya believes his life is in shambles, as only a 12-year-old can. Having lost his card collection, his childish dilemmas worsen when he learns that his childhood friend, Arumi Asahina, will be moving away.

Suddenly, their issues are dashed aside for the surreal, and they find themselves transported away through bizarre worlds of science fiction, magic, and war. Any attempt to escape only catapults them into another alien land. Soon, the two come to a realization: every world is just a reimagining of their hometown. But there are two unfamiliar faces—the voluptuous Mune-mune and the elusive blue-haired Eutus—and they just might be the key to escaping their predicament.

Abenobashi Mahou☆Shoutengai follows Sasshi and Arumi's comedic exploits as they desperately attempt to return home. However, when the pair unravel a tale spanning generations, they begin to wonder if the cause of their situation is more personal than they thought. Is returning home truly what they desire?

[Written by MAL Rewrite]",Abenobashi Mahou☆Shoutengai received an Excellence Prize for animation at the 2002 Japan Media Arts Festival.,spring,2002.0,Thursdays,22:00,"Gainax, Dentsu, Starchild Records, Imagica, Rakuonsha, King Records","ADV Films, Sentai Filmworks",Madhouse,"Award Winning, Comedy, Fantasy, Ecchi","Isekai, Parody"
380,Fushigi Yuugi OVA,Mysterious Play OVA,ふしぎ遊戯,Fushigi Yugi OVA 1,https://myanimelist.net/anime/380/Fushigi_Yuugi_OVA,https://cdn.myanimelist.net/images/anime/1171/92443.jpg,,OVA,Manga,3.0,Finished Airing,False,1996-10-25T00:00:00+00:00,1997-02-25T00:00:00+00:00,28 min per ep,PG-13 - Teens 13 or older,7.13,12343.0,3668.0,4660,23785,51,"Having concluded their adventure inside the mystical book The Universe of the Four Gods, Miaka Yuuki and Yui Hongo resume their ordinary lives with but one exception: upon returning to the real world, Miaka is permitted to bring her beloved Tamahome along with her. 

Unfortunately, shortly afterward, new troubles threaten the couple's hard-earned happiness. During a visit to the graves of the two other girls who had traveled inside The Universe of the Four Gods, Tamahome is engulfed by a red light and disappears right before Miaka's eyes. Witnessing the puzzling incident, her brother Keisuke and his best friend Tetsuya Kajiwara resolve to help the heartbroken Miaka find her boyfriend again. 

Meanwhile, Tamahome has been brought back into the book, only to discover that 50 years had passed since his departure. To his surprise, he learns that he has now switched identities with his former enemy, Nakago. Will the two lovers triumph over these adversities to reunite once more, or are they doomed to remain separated forever?


Fushigi Yuugi Otsukare Ian Bus Ryokou: Kindan no Josei Onsen-hen
The Celestial Warriors of gods Suzaku and Seiryuu, alongside their priestesses, Miaka Yuuki and Yui Hongo, are granted a bus trip to a special hot spring resort to enjoy some leisure time. Despite the extensive journey, the lively party spices up the experience by playing mischievous tricks on each other, completely unaware of the surprise awaiting them at their destination.

[Written by MAL Rewrite]","Fushigi Yuugi OVA received two DVD releases in Japan from Bandai Namco Arts, formerly known as Bandai Visuals. The first was released on October 25, 1996, with the second being released on August 25, 2002. Between the two, on June 5, 2001, a DVD combo set titled Fushigi Yuugi: The Mysterious Play OVA was made available by Geneon Entertainment, bundling the first OVA together with Fushigi Yuugi: Dai Ni Bu. The set—presently out of print—includes additional content such as English and Japanese language tracks, an image gallery, and a brochure with supplementary information and pictures. Geneon Entertainment also made available an English dubbed version of Fushigi Yuugi OVA that aired on the International Channel starting December 30, 2003.",,,,,"Bandai Visual, Movic","Media Blasters, Geneon Entertainment USA",Pierrot,"Adventure, Fantasy, Romance","Historical, Isekai, Martial Arts"
381,Fushigi Yuugi: Dai Ni Bu,Mysterious Play OVA 2,ふしぎ遊戯　第二部,"Fushigi Yugi OVA 2, Fushigi Yuugi OVA 2",https://myanimelist.net/anime/381/Fushigi_Yuugi__Dai_Ni_Bu,https://cdn.myanimelist.net/images/anime/1591/92444.jpg,,OVA,Manga,6.0,Finished Airing,False,1997-05-25T00:00:00+00:00,1998-10-25T00:00:00+00:00,33 min per ep,PG-13 - Teens 13 or older,7.24,10669.0,3106.0,4913,21227,40,"After Tamahome is reborn into the real world as Taka Sukunami, it does not take long until he meets Miaka Yuuki again, leading to their romance blooming once more. However, the appearance of Ren Shigyou—a new student at Miaka's high school—disturbs their blissful days.

Resentful of the happy lovers, Shigyou uses his unusual manipulative skills to quickly become popular and rally his classmates against Miaka and Taka. As Shigyou's followers unexpectedly attack the pair, the two end up falling from the school's roof into a red light and are transported to The Universe of the Four Gods realm.

Returning to the place where Taka once lived as Tamahome, the couple learns that an evil demon is behind the recent events. To make matters worse, Taka risks disappearing from existence unless he recovers his previous life's memories, which are stored in seven jewels. Joining forces with their former companions, Miaka and Taka embark on a quest against the clock to retrieve the precious stones before it is too late.

[Written by MAL Rewrite]","At the end of each episode, a short animation is presented. Consisting of one modified scene from the respective episode, a dramatic moment is transformed into a comedic one.",,,,,,"Media Blasters, Geneon Entertainment USA",Pierrot,"Adventure, Fantasy, Romance","Historical, Isekai, Martial Arts"
393,Escaflowne,Escaflowne: A Girl in Gaea,エスカフローネ,Escaflowne: The Movie,https://myanimelist.net/anime/393/Escaflowne,https://cdn.myanimelist.net/images/anime/1539/94517.jpg,https://www.youtube.com/watch?v=KlUI_4ATSx0,Movie,Original,1.0,Finished Airing,False,2000-06-24T00:00:00+00:00,,1 hr 37 min,PG-13 - Teens 13 or older,7.05,32602.0,4045.0,2604,73731,227,"Hitomi Kanzaki is in a very depressed mood. She only wants to sleep and fade away. Her misery summons Lord Folken who sends her to Gaea. The people of Gaea think she is the Wing Goddess, who can call upon the legendary Dragon Armor called Escaflowne. On Gaea, King Van, the sole survior of the White Dragon Clan, is also in a depressed state. Swearing an oath to get his revenge on the Black Dragon Clan that obliterated Van's kingdom, he lives by the sword. Now that the Wing Goddess has finally appeared, she posseses Gaea's world fate in her heart. Escaflowne will either lead Gaea to peace or total ruin.

(Source: ANN)",,,,,,"Atelier Musa, Omnibus Promotion","Funimation, Bandai Entertainment","Bones, Sunrise","Adventure, Drama, Fantasy, Romance, Sci-Fi","Isekai, Mecha"
435,Magic Knight Rayearth,Magic Knight Rayearth,魔法騎士（マジックナイト）レイアース,Mahou Kishi Rayearth,https://myanimelist.net/anime/435/Magic_Knight_Rayearth,https://cdn.myanimelist.net/images/anime/1683/97042.jpg,,TV,Manga,20.0,Finished Airing,False,1994-10-17T00:00:00+00:00,1995-03-13T00:00:00+00:00,24 min per ep,PG-13 - Teens 13 or older,7.45,29867.0,2077.0,2620,73034,577,"Hikaru Shidou, Umi Ryuuzaki, and Fuu Hououji are strangers brought together by fate when they meet during a seemingly normal field trip to Tokyo Tower. Accompanied by a great flash of light, they hear a mysterious woman's plea to save ""Cephiro,"" and the junior high heroines are suddenly swept away by a giant flying fish. Afterwards, they arrive in an unknown land, where they encounter a man called Master Mage Clef.

Clef informs the girls that they were summoned by Princess Emeraude to fulfill their destinies as Magic Knights, restoring peace and balance in Cephiro. The formerly lively and peaceful land has been in disarray ever since High Priest Zagato imprisoned the princess, who acted as Cephiro's pillar of stability. The Magic Knights reluctantly accept Clef's words as truth and embark on a journey to save Cephiro from the clutches of evil.

[Written by MAL Rewrite]","Although the first season is a near-direct adaptation of the first arc of the manga, there are several small additions, including the anime original character Inouva. Magic Knight Rayearth's opening theme song, Yuzurenai Negai, was awarded the ""Best Theme Song"" at the first ever Animation Kobe Awards in 1996.",fall,1994.0,Mondays,19:30,Yomiuri Telecasting,"Media Blasters, Discotek Media",Tokyo Movie Shinsha,"Action, Adventure, Comedy, Drama, Fantasy","Isekai, Mahou Shoujo, Mecha"
